"subject_num","picture","ans","correct"
1,"Q2.na_edited_hu_1",2,1
1,"Q2.as_edited_ob_1",2,1
1,"Q2.isr_edited_hu_1",2,1
1,"Q2.Isr_unedited_2",1,0
2,"Q2.sa_edited_ob_1",2,1
2,"Q2.isr_edited_hu_2",2,1
2,"Q2.Isr_unedited_3",1,0
3,"Q2.na_edited_hu_1",1,1
3,"Q2.Isr_unedited_2",1,0
3,"Q2.sa_unedited_1",1,0
4,"Q2.Isr_edited_ob_5",2,1
4,"Q2.na_edited_hu_1",2,1
4,"Q2.sa_edited_ob_1",2,1
4,"Q2.sa_unedited_1",2,0
5,"Q2.af_edited_hu_1",2,1
5,"Q2.sa_edited_ob_1",2,1
5,"Q2.as_unedited_1",1,0
5,"Q2.Isr_unedited_3",1,0
6,"Q2.na_edited_hu_1",2,1
6,"Q2.sa_edited_ob_1",2,1
6,"Q2.Isr_unedited_1",1,0
6,"Q2.na_unedited_1",2,0
7,"Q2.sa_edited_ob_1",1,1
7,"Q2.Isr_unedited_3",1,0
8,"Q2.sa_edited_ob_1",2,1
8,"Q2.isr_edited_hu_1",1,1
8,"Q2.na_unedited_1",1,0
9,"Q2.af_edited_hu_1",1,1
9,"Q2.isr_edited_hu_1",1,1
10,"Q2.Isr_edited_ob_5",1,1
10,"Q2.na_edited_hu_1",2,1
10,"Q2.as_edited_ob_1",1,1
10,"Q2.isr_edited_hu_1",2,1
10,"Q2.Isr_unedited_1",1,0
10,"Q2.Isr_unedited_4",2,0
11,"Q2.Isr_edited_ob_5",2,1
11,"Q2.na_edited_hu_1",2,1
11,"Q2.isr_edited_hu_1",2,1
11,"Q2.as_unedited_1",1,0
11,"Q2.na_unedited_1",2,0
12,"Q2.af_edited_hu_1",1,1
13,"Q2.as_edited_ob_1",2,1
13,"Q2.isr_edited_hu_1",2,1
14,"Q2.Isr_edited_ob_5",1,1
14,"Q2.af_edited_hu_1",1,1
14,"Q2.as_edited_ob_1",1,1
14,"Q2.isr_edited_hu_1",1,1
14,"Q2.sa_unedited_1",2,0
15,"Q2.Isr_edited_ob_6",2,1
15,"Q2.na_edited_hu_1",2,1
15,"Q2.sa_edited_ob_1",2,1
15,"Q2.isr_edited_hu_1",2,1
15,"Q2.na_unedited_1",1,0
16,"Q2.af_edited_hu_1",1,1
16,"Q2.as_edited_ob_1",1,1
16,"Q2.isr_edited_hu_2",2,1
16,"Q2.Isr_unedited_2",2,0
16,"Q2.as_unedited_1",1,0
16,"Q2.Isr_unedited_3",2,0
17,"Q2.as_edited_ob_1",1,1
18,"Q2.af_edited_hu_1",2,1
18,"Q2.as_edited_ob_1",1,1
18,"Q2.isr_edited_hu_1",2,1
18,"Q2.sa_unedited_1",2,0
19,"Q2.na_edited_hu_1",1,1
20,"Q2.na_edited_hu_1",2,1
20,"Q2.as_edited_ob_1",2,1
20,"Q2.isr_edited_hu_1",2,1
20,"Q2.Isr_unedited_2",1,0
21,"Q2.na_edited_hu_1",2,1
21,"Q2.af_unedited_1",1,0
22,"Q2.na_edited_hu_1",2,1
22,"Q2.as_edited_ob_1",1,1
22,"Q2.sa_unedited_1",2,0
23,"Q2.af_edited_hu_1",2,1
