exposure,subject_num,picture,human,object,israel,far,logDe,correct,neg,conf,frac_conf,edited
0,1,Q2.Isr_edited_ob_5,0,1,1,0,0.65,0,-1,3,0.75,1
1,1,Q2.na_edited_hu_1,1,0,0,1,0.35,1,-1,4,1,1
2,1,Q2.as_edited_ob_1,0,1,0,1,0.75,1,-1,3,0.75,1
3,1,Q2.isr_edited_hu_1,1,0,1,0,0.84,1,-1,3,0.75,1
4,2,Q2.Isr_edited_ob_6,0,1,1,0,0.56,0,-1,3,0.75,1
5,2,Q2.af_edited_hu_1,1,0,0,1,0.36,0,-1,3,0.75,1
6,2,Q2.sa_edited_ob_1,0,1,0,1,0.63,1,-1,4,1,1
7,2,Q2.isr_edited_hu_2,1,0,1,0,0.12,1,-1,3,0.75,1
8,3,Q2.Isr_edited_ob_6,0,1,1,0,0.56,0,-1,2,0.5,1
9,3,Q2.na_edited_hu_1,1,0,0,1,0.35,1,-1,3,0.75,1
10,3,Q2.sa_edited_ob_1,0,1,0,1,0.63,0,-1,3,0.75,1
11,3,Q2.isr_edited_hu_2,1,0,1,0,0.12,0,-1,4,1,1
12,4,Q2.Isr_edited_ob_5,0,1,1,0,0.65,1,-1,4,1,1
13,4,Q2.na_edited_hu_1,1,0,0,1,0.35,1,-1,4,1,1
14,4,Q2.sa_edited_ob_1,0,1,0,1,0.63,1,-1,3,0.75,1
15,4,Q2.isr_edited_hu_2,1,0,1,0,0.12,0,-1,1,0.25,1
16,5,Q2.Isr_edited_ob_6,0,1,1,0,0.56,0,-1,4,1,1
17,5,Q2.af_edited_hu_1,1,0,0,1,0.36,1,-1,4,1,1
18,5,Q2.sa_edited_ob_1,0,1,0,1,0.63,1,-1,4,1,1
19,5,Q2.isr_edited_hu_1,1,0,1,0,0.84,0,-1,4,1,1
20,6,Q2.Isr_edited_ob_6,0,1,1,0,0.56,0,-1,2,0.5,1
21,6,Q2.na_edited_hu_1,1,0,0,1,0.35,1,-1,2,0.5,1
22,6,Q2.sa_edited_ob_1,0,1,0,1,0.63,1,-1,3,0.75,1
23,6,Q2.isr_edited_hu_1,1,0,1,0,0.84,0,-1,2,0.5,1
24,7,Q2.Isr_edited_ob_6,0,1,1,0,0.56,0,-1,3,0.75,1
25,7,Q2.na_edited_hu_1,1,0,0,1,0.35,0,-1,3,0.75,1
26,7,Q2.sa_edited_ob_1,0,1,0,1,0.63,1,-1,3,0.75,1
27,7,Q2.isr_edited_hu_2,1,0,1,0,0.12,0,-1,3,0.75,1
28,8,Q2.Isr_edited_ob_6,0,1,1,0,0.56,0,-1,4,1,1
29,8,Q2.af_edited_hu_1,1,0,0,1,0.36,0,-1,4,1,1
30,8,Q2.sa_edited_ob_1,0,1,0,1,0.63,1,-1,3,0.75,1
31,8,Q2.isr_edited_hu_1,1,0,1,0,0.84,1,-1,4,1,1
32,9,Q2.Isr_edited_ob_5,0,1,1,0,0.65,0,-1,1,0.25,1
33,9,Q2.af_edited_hu_1,1,0,0,1,0.36,1,-1,2,0.5,1
34,9,Q2.as_edited_ob_1,0,1,0,1,0.75,0,-1,1,0.25,1
35,9,Q2.isr_edited_hu_1,1,0,1,0,0.84,1,-1,3,0.75,1
36,10,Q2.Isr_edited_ob_5,0,1,1,0,0.65,1,-1,3,0.75,1
37,10,Q2.na_edited_hu_1,1,0,0,1,0.35,1,-1,4,1,1
38,10,Q2.as_edited_ob_1,0,1,0,1,0.75,1,-1,3,0.75,1
39,10,Q2.isr_edited_hu_1,1,0,1,0,0.84,1,-1,3,0.75,1
40,11,Q2.Isr_edited_ob_5,0,1,1,0,0.65,1,-1,4,1,1
41,11,Q2.na_edited_hu_1,1,0,0,1,0.35,1,-1,4,1,1
42,11,Q2.as_edited_ob_1,0,1,0,1,0.75,0,-1,1,0.25,1
43,11,Q2.isr_edited_hu_1,1,0,1,0,0.84,1,-1,3,0.75,1
44,12,Q2.Isr_edited_ob_6,0,1,1,0,0.56,0,-1,3,0.75,1
45,12,Q2.af_edited_hu_1,1,0,0,1,0.36,1,-1,2,0.5,1
46,12,Q2.as_edited_ob_1,0,1,0,1,0.75,0,-1,2,0.5,1
47,12,Q2.isr_edited_hu_1,1,0,1,0,0.84,0,-1,3,0.75,1
48,13,Q2.Isr_edited_ob_6,0,1,1,0,0.56,0,-1,1,0.25,1
49,13,Q2.af_edited_hu_1,1,0,0,1,0.36,0,-1,1,0.25,1
50,13,Q2.as_edited_ob_1,0,1,0,1,0.75,1,-1,2,0.5,1
51,13,Q2.isr_edited_hu_1,1,0,1,0,0.84,1,-1,2,0.5,1
52,14,Q2.Isr_edited_ob_5,0,1,1,0,0.65,1,-1,2,0.5,1
53,14,Q2.af_edited_hu_1,1,0,0,1,0.36,1,-1,2,0.5,1
54,14,Q2.as_edited_ob_1,0,1,0,1,0.75,1,-1,3,0.75,1
55,14,Q2.isr_edited_hu_1,1,0,1,0,0.84,1,-1,3,0.75,1
56,15,Q2.Isr_edited_ob_6,0,1,1,0,0.56,1,-1,2,0.5,1
57,15,Q2.na_edited_hu_1,1,0,0,1,0.35,1,-1,3,0.75,1
58,15,Q2.sa_edited_ob_1,0,1,0,1,0.63,1,-1,2,0.5,1
59,15,Q2.isr_edited_hu_1,1,0,1,0,0.84,1,-1,2,0.5,1
60,16,Q2.Isr_edited_ob_6,0,1,1,0,0.56,0,-1,4,1,1
61,16,Q2.af_edited_hu_1,1,0,0,1,0.36,1,-1,2,0.5,1
62,16,Q2.as_edited_ob_1,0,1,0,1,0.75,1,-1,2,0.5,1
63,16,Q2.isr_edited_hu_2,1,0,1,0,0.12,1,-1,4,1,1
64,17,Q2.Isr_edited_ob_5,0,1,1,0,0.65,0,-1,4,1,1
65,17,Q2.af_edited_hu_1,1,0,0,1,0.36,0,-1,3,0.75,1
66,17,Q2.as_edited_ob_1,0,1,0,1,0.75,1,-1,3,0.75,1
67,17,Q2.isr_edited_hu_2,1,0,1,0,0.12,0,-1,4,1,1
68,18,Q2.Isr_edited_ob_6,0,1,1,0,0.56,0,-1,4,1,1
69,18,Q2.af_edited_hu_1,1,0,0,1,0.36,1,-1,4,1,1
70,18,Q2.as_edited_ob_1,0,1,0,1,0.75,1,-1,4,1,1
71,18,Q2.isr_edited_hu_1,1,0,1,0,0.84,1,-1,4,1,1
72,19,Q2.Isr_edited_ob_5,0,1,1,0,0.65,0,-1,3,0.75,1
73,19,Q2.na_edited_hu_1,1,0,0,1,0.35,1,-1,3,0.75,1
74,19,Q2.as_edited_ob_1,0,1,0,1,0.75,0,-1,2,0.5,1
75,19,Q2.isr_edited_hu_1,1,0,1,0,0.84,0,-1,2,0.5,1
76,20,Q2.Isr_edited_ob_5,0,1,1,0,0.65,0,-1,4,1,1
77,20,Q2.na_edited_hu_1,1,0,0,1,0.35,1,-1,3,0.75,1
78,20,Q2.as_edited_ob_1,0,1,0,1,0.75,1,-1,3,0.75,1
79,20,Q2.isr_edited_hu_1,1,0,1,0,0.84,1,-1,3,0.75,1
80,21,Q2.Isr_edited_ob_5,0,1,1,0,0.65,0,-1,4,1,1
81,21,Q2.na_edited_hu_1,1,0,0,1,0.35,1,-1,3,0.75,1
82,21,Q2.sa_edited_ob_1,0,1,0,1,0.63,0,-1,2,0.5,1
83,21,Q2.isr_edited_hu_2,1,0,1,0,0.12,0,-1,3,0.75,1
84,22,Q2.Isr_edited_ob_5,0,1,1,0,0.65,0,-1,3,0.75,1
85,22,Q2.na_edited_hu_1,1,0,0,1,0.35,1,-1,4,1,1
86,22,Q2.as_edited_ob_1,0,1,0,1,0.75,1,-1,1,0.25,1
87,22,Q2.isr_edited_hu_2,1,0,1,0,0.12,0,-1,2,0.5,1
88,23,Q2.Isr_edited_ob_6,0,1,1,0,0.56,0,-1,4,1,1
89,23,Q2.af_edited_hu_1,1,0,0,1,0.36,1,-1,4,1,1
90,23,Q2.as_edited_ob_1,0,1,0,1,0.75,0,-1,3,0.75,1
91,23,Q2.isr_edited_hu_2,1,0,1,0,0.12,0,-1,4,1,1
92,24,Q2.Isr_edited_ob_5,0,1,1,0,0.65,0,-1,3,0.75,1
93,24,Q2.af_edited_hu_1,1,0,0,1,0.36,1,-1,3,0.75,1
94,24,Q2.as_edited_ob_1,0,1,0,1,0.75,1,-1,4,1,1
95,24,Q2.isr_edited_hu_1,1,0,1,0,0.84,1,-1,4,1,1
96,25,Q2.Isr_edited_ob_5,0,1,1,0,0.65,0,-1,2,0.5,1
97,25,Q2.na_edited_hu_1,1,0,0,1,0.35,1,-1,3,0.75,1
98,25,Q2.as_edited_ob_1,0,1,0,1,0.75,0,-1,2,0.5,1
99,25,Q2.isr_edited_hu_1,1,0,1,0,0.84,1,-1,3,0.75,1
100,26,Q2.Isr_edited_ob_6,0,1,1,0,0.56,0,-1,3,0.75,1
101,26,Q2.na_edited_hu_1,1,0,0,1,0.35,1,-1,4,1,1
102,26,Q2.sa_edited_ob_1,0,1,0,1,0.63,1,-1,2,0.5,1
103,26,Q2.isr_edited_hu_2,1,0,1,0,0.12,1,-1,4,1,1
104,27,Q2.Isr_edited_ob_5,0,1,1,0,0.65,0,-1,4,1,1
105,27,Q2.na_edited_hu_1,1,0,0,1,0.35,1,-1,4,1,1
106,27,Q2.sa_edited_ob_1,0,1,0,1,0.63,0,-1,4,1,1
107,27,Q2.isr_edited_hu_1,1,0,1,0,0.84,1,-1,3,0.75,1
108,28,Q2.Isr_edited_ob_6,0,1,1,0,0.56,0,-1,2,0.5,1
109,28,Q2.af_edited_hu_1,1,0,0,1,0.36,1,-1,4,1,1
110,28,Q2.as_edited_ob_1,0,1,0,1,0.75,1,-1,4,1,1
111,28,Q2.isr_edited_hu_2,1,0,1,0,0.12,1,-1,4,1,1
112,29,Q2.Isr_edited_ob_5,0,1,1,0,0.65,0,-1,3,0.75,1
113,29,Q2.na_edited_hu_1,1,0,0,1,0.35,1,-1,4,1,1
114,29,Q2.sa_edited_ob_1,0,1,0,1,0.63,0,-1,3,0.75,1
115,29,Q2.isr_edited_hu_2,1,0,1,0,0.12,1,-1,3,0.75,1
116,30,Q2.Isr_edited_ob_6,0,1,1,0,0.56,0,-1,4,1,1
117,30,Q2.na_edited_hu_1,1,0,0,1,0.35,0,-1,4,1,1
118,30,Q2.sa_edited_ob_1,0,1,0,1,0.63,1,-1,4,1,1
119,30,Q2.isr_edited_hu_2,1,0,1,0,0.12,1,-1,4,1,1
120,31,Q2.Isr_edited_ob_5,0,1,1,0,0.65,1,-1,3,0.75,1
121,31,Q2.na_edited_hu_1,1,0,0,1,0.35,1,-1,3,0.75,1
122,31,Q2.as_edited_ob_1,0,1,0,1,0.75,0,-1,3,0.75,1
123,31,Q2.isr_edited_hu_2,1,0,1,0,0.12,1,-1,1,0.25,1
124,32,Q2.Isr_edited_ob_6,0,1,1,0,0.56,0,-1,4,1,1
125,32,Q2.af_edited_hu_1,1,0,0,1,0.36,0,-1,3,0.75,1
126,32,Q2.as_edited_ob_1,0,1,0,1,0.75,1,-1,3,0.75,1
127,32,Q2.isr_edited_hu_1,1,0,1,0,0.84,1,-1,3,0.75,1
128,33,Q2.Isr_edited_ob_5,0,1,1,0,0.65,0,-1,1,0.25,1
129,33,Q2.na_edited_hu_1,1,0,0,1,0.35,1,-1,4,1,1
130,33,Q2.sa_edited_ob_1,0,1,0,1,0.63,0,-1,3,0.75,1
131,33,Q2.isr_edited_hu_2,1,0,1,0,0.12,0,-1,2,0.5,1
132,34,Q2.Isr_edited_ob_5,0,1,1,0,0.65,0,-1,3,0.75,1
133,34,Q2.na_edited_hu_1,1,0,0,1,0.35,0,-1,3,0.75,1
134,34,Q2.sa_edited_ob_1,0,1,0,1,0.63,0,-1,4,1,1
135,34,Q2.isr_edited_hu_1,1,0,1,0,0.84,1,-1,4,1,1
136,35,Q2.Isr_edited_ob_5,0,1,1,0,0.65,1,-1,4,1,1
137,35,Q2.na_edited_hu_1,1,0,0,1,0.35,0,-1,4,1,1
138,35,Q2.as_edited_ob_1,0,1,0,1,0.75,0,-1,3,0.75,1
139,35,Q2.isr_edited_hu_1,1,0,1,0,0.84,0,-1,3,0.75,1
140,36,Q2.Isr_edited_ob_6,0,1,1,0,0.56,0,-1,4,1,1
141,36,Q2.na_edited_hu_1,1,0,0,1,0.35,1,-1,4,1,1
142,36,Q2.sa_edited_ob_1,0,1,0,1,0.63,1,-1,1,0.25,1
143,36,Q2.isr_edited_hu_2,1,0,1,0,0.12,1,-1,3,0.75,1
144,37,Q2.Isr_edited_ob_6,0,1,1,0,0.56,0,-1,2,0.5,1
145,37,Q2.af_edited_hu_1,1,0,0,1,0.36,0,-1,3,0.75,1
146,37,Q2.sa_edited_ob_1,0,1,0,1,0.63,0,-1,3,0.75,1
147,37,Q2.isr_edited_hu_1,1,0,1,0,0.84,1,-1,4,1,1
148,38,Q2.Isr_edited_ob_5,0,1,1,0,0.65,0,-1,3,0.75,1
149,38,Q2.af_edited_hu_1,1,0,0,1,0.36,1,-1,2,0.5,1
150,38,Q2.as_edited_ob_1,0,1,0,1,0.75,0,-1,2,0.5,1
151,38,Q2.isr_edited_hu_1,1,0,1,0,0.84,1,-1,3,0.75,1
152,39,Q2.Isr_edited_ob_5,0,1,1,0,0.65,1,-1,4,1,1
153,39,Q2.af_edited_hu_1,1,0,0,1,0.36,0,-1,3,0.75,1
154,39,Q2.as_edited_ob_1,0,1,0,1,0.75,1,-1,2,0.5,1
155,39,Q2.isr_edited_hu_2,1,0,1,0,0.12,0,-1,3,0.75,1
156,40,Q2.Isr_edited_ob_5,0,1,1,0,0.65,0,-1,4,1,1
157,40,Q2.af_edited_hu_1,1,0,0,1,0.36,1,-1,4,1,1
158,40,Q2.as_edited_ob_1,0,1,0,1,0.75,0,-1,2,0.5,1
