observation,subject_num,picture,correct,rt,conf,frac_conf
1,1,Q2.Isr_edited_ob_5,1,22.825,2,0.5
2,1,Q2.na_edited_hu_1,0,8.67,3,0.75
3,1,Q2.as_edited_ob_1,0,6.35,3,0.75
4,1,Q2.isr_edited_hu_1,0,13.85,4,1
5,1,Q2.Isr_unedited_2,0,10.907,3,0.75
6,1,Q2.as_unedited_1,1,18.372,3,0.75
7,1,Q2.Isr_unedited_4,1,12.803,3,0.75
8,1,Q2.na_unedited_1,1,10.612,3,0.75
9,2,Q2.Isr_edited_ob_6,1,7.884,3,0.75
10,2,Q2.af_edited_hu_1,1,4.788,4,1
11,2,Q2.sa_edited_ob_1,0,19.794,3,0.75
12,2,Q2.isr_edited_hu_2,0,4.794,3,0.75
13,2,Q2.Isr_unedited_1,1,12.713,3,0.75
14,2,Q2.as_unedited_1,1,9.878,4,1
15,2,Q2.Isr_unedited_3,0,7.375,3,0.75
16,2,Q2.na_unedited_1,1,7.597,3,0.75
17,3,Q2.Isr_edited_ob_6,1,31.458,3,0.75
18,3,Q2.na_edited_hu_1,0,14.17,3,0.75
19,3,Q2.sa_edited_ob_1,1,42.661,2,0.5
20,3,Q2.isr_edited_hu_2,1,29.467,3,0.75
21,3,Q2.Isr_unedited_2,0,12.41,4,1
22,3,Q2.sa_unedited_1,0,20.704,3,0.75
23,3,Q2.Isr_unedited_4,1,20.889,4,1
24,3,Q2.af_unedited_1,1,48.801,3,0.75
25,4,Q2.Isr_edited_ob_5,0,53.476,1,0.25
26,4,Q2.na_edited_hu_1,0,24.846,4,1
27,4,Q2.sa_edited_ob_1,0,50.506,4,1
28,4,Q2.isr_edited_hu_2,1,47.563,4,1
29,4,Q2.Isr_unedited_1,1,18.814,3,0.75
30,4,Q2.sa_unedited_1,0,41.554,3,0.75
31,4,Q2.Isr_unedited_4,1,39.055,1,0.25
32,4,Q2.na_unedited_1,1,30.74,2,0.5
33,5,Q2.Isr_edited_ob_6,1,12.153,4,1
34,5,Q2.af_edited_hu_1,0,30.452,2,0.5
35,5,Q2.sa_edited_ob_1,0,8.404,4,1
36,5,Q2.isr_edited_hu_1,1,26.383,4,1
37,5,Q2.Isr_unedited_1,1,12.577,4,1
38,5,Q2.as_unedited_1,0,3.419,4,1
39,5,Q2.Isr_unedited_3,0,8.572,4,1
40,5,Q2.af_unedited_1,1,7.111,3,0.75
41,6,Q2.Isr_edited_ob_6,1,18.612,2,0.5
42,6,Q2.na_edited_hu_1,0,10.165,2,0.5
43,6,Q2.sa_edited_ob_1,0,18.343,2,0.5
44,6,Q2.isr_edited_hu_1,1,17.095,2,0.5
45,6,Q2.Isr_unedited_1,0,21.057,2,0.5
46,6,Q2.as_unedited_1,1,10.857,3,0.75
47,6,Q2.Isr_unedited_4,1,31.756,2,0.5
48,6,Q2.na_unedited_1,0,15.78,2,0.5
49,7,Q2.Isr_edited_ob_6,1,6.461,3,0.75
50,7,Q2.na_edited_hu_1,1,7.775,3,0.75
51,7,Q2.sa_edited_ob_1,0,7.389,3,0.75
52,7,Q2.isr_edited_hu_2,1,7.46,3,0.75
53,7,Q2.Isr_unedited_2,1,9.82,3,0.75
54,7,Q2.sa_unedited_1,1,11,3,0.75
55,7,Q2.Isr_unedited_3,0,5.711,3,0.75
56,7,Q2.na_unedited_1,1,14.327,2,0.5
57,8,Q2.Isr_edited_ob_6,1,12.843,4,1
58,8,Q2.af_edited_hu_1,1,12.219,2,0.5
59,8,Q2.sa_edited_ob_1,0,9.512,4,1
60,8,Q2.isr_edited_hu_1,0,7.187,4,1
61,8,Q2.Isr_unedited_1,1,12.853,4,1
62,8,Q2.sa_unedited_1,1,22.654,3,0.75
63,8,Q2.Isr_unedited_4,1,10.117,4,1
64,8,Q2.na_unedited_1,0,8.609,4,1
65,9,Q2.Isr_edited_ob_5,1,19.667,3,0.75
66,9,Q2.af_edited_hu_1,0,11.447,1,0.25
67,9,Q2.as_edited_ob_1,1,7.323,1,0.25
68,9,Q2.isr_edited_hu_1,0,12.858,2,0.5
69,9,Q2.Isr_unedited_1,1,12.033,2,0.5
70,9,Q2.sa_unedited_1,1,8.725,1,0.25
71,9,Q2.Isr_unedited_4,1,12.922,3,0.75
72,9,Q2.na_unedited_1,1,11.068,1,0.25
73,10,Q2.Isr_edited_ob_5,0,15.042,3,0.75
74,10,Q2.na_edited_hu_1,0,8.952,4,1
75,10,Q2.as_edited_ob_1,0,6.394,3,0.75
76,10,Q2.isr_edited_hu_1,0,9.054,4,1
77,10,Q2.Isr_unedited_1,0,23.003,2,0.5
78,10,Q2.sa_unedited_1,1,90,3,0.75
79,10,Q2.Isr_unedited_4,0,11.283,3,0.75
80,10,Q2.af_unedited_1,1,26.576,3,0.75
81,11,Q2.Isr_edited_ob_5,0,44.725,2,0.5
82,11,Q2.na_edited_hu_1,0,48.357,2,0.5
83,11,Q2.as_edited_ob_1,1,35.5,4,1
84,11,Q2.isr_edited_hu_1,0,19.531,4,1
85,11,Q2.Isr_unedited_1,1,32.91,2,0.5
86,11,Q2.as_unedited_1,0,31.578,1,0.25
87,11,Q2.Isr_unedited_4,1,35.111,3,0.75
88,11,Q2.na_unedited_1,0,28.32,4,1
89,12,Q2.Isr_edited_ob_6,1,6.827,3,0.75
90,12,Q2.af_edited_hu_1,0,14.557,3,0.75
91,12,Q2.as_edited_ob_1,1,14.304,3,0.75
92,12,Q2.isr_edited_hu_1,1,16.472,2,0.5
93,12,Q2.Isr_unedited_2,1,12.127,3,0.75
94,12,Q2.as_unedited_1,1,90,2,0.5
95,12,Q2.Isr_unedited_3,1,18.285,3,0.75
96,12,Q2.na_unedited_1,1,31.941,3,0.75
97,13,Q2.Isr_edited_ob_6,1,13.089,1,0.25
98,13,Q2.af_edited_hu_1,1,14.911,1,0.25
99,13,Q2.as_edited_ob_1,0,12.136,1,0.25
100,13,Q2.isr_edited_hu_1,0,15.7,1,0.25
101,13,Q2.Isr_unedited_2,1,26.945,1,0.25
102,13,Q2.as_unedited_1,1,18.433,2,0.5
103,13,Q2.Isr_unedited_4,1,18.847,2,0.5
104,13,Q2.af_unedited_1,1,24.699,1,0.25
105,14,Q2.Isr_edited_ob_5,0,5.48,3,0.75
106,14,Q2.af_edited_hu_1,0,7.54,3,0.75
107,14,Q2.as_edited_ob_1,0,4.447,2,0.5
108,14,Q2.isr_edited_hu_1,0,12.029,2,0.5
109,14,Q2.Isr_unedited_1,1,9.076,2,0.5
110,14,Q2.sa_unedited_1,0,4.062,3,0.75
111,14,Q2.Isr_unedited_3,1,9.556,3,0.75
112,14,Q2.na_unedited_1,1,5.714,3,0.75
113,15,Q2.Isr_edited_ob_6,0,11.281,2,0.5
114,15,Q2.na_edited_hu_1,0,9.348,3,0.75
115,15,Q2.sa_edited_ob_1,0,26.298,2,0.5
116,15,Q2.isr_edited_hu_1,0,13.559,3,0.75
117,15,Q2.Isr_unedited_1,1,17.592,3,0.75
118,15,Q2.sa_unedited_1,1,7.478,2,0.5
119,15,Q2.Isr_unedited_4,1,21.049,2,0.5
120,15,Q2.na_unedited_1,0,23.055,3,0.75
121,16,Q2.Isr_edited_ob_6,1,6.218,4,1
122,16,Q2.af_edited_hu_1,0,16.7,1,0.25
123,16,Q2.as_edited_ob_1,0,4.606,4,1
124,16,Q2.isr_edited_hu_2,0,6.74,2,0.5
125,16,Q2.Isr_unedited_2,0,7.297,2,0.5
126,16,Q2.as_unedited_1,0,8.827,2,0.5
127,16,Q2.Isr_unedited_3,0,46.081,4,1
128,16,Q2.na_unedited_1,1,7.196,3,0.75
129,17,Q2.Isr_edited_ob_5,1,9.387,4,1
130,17,Q2.af_edited_hu_1,1,20.629,3,0.75
131,17,Q2.as_edited_ob_1,0,3.55,4,1
132,17,Q2.isr_edited_hu_2,1,4.901,3,0.75
133,17,Q2.Isr_unedited_1,1,5.689,4,1
134,17,Q2.as_unedited_1,1,7.01,3,0.75
135,17,Q2.Isr_unedited_3,1,5.343,4,1
136,17,Q2.af_unedited_1,1,8.488,4,1
137,18,Q2.Isr_edited_ob_6,1,6.01,4,1
138,18,Q2.af_edited_hu_1,0,6.195,4,1
139,18,Q2.as_edited_ob_1,0,4.598,4,1
140,18,Q2.isr_edited_hu_1,0,9.593,4,1
141,18,Q2.Isr_unedited_2,1,7.479,4,1
142,18,Q2.sa_unedited_1,0,6.708,4,1
143,18,Q2.Isr_unedited_3,1,5.834,4,1
144,18,Q2.af_unedited_1,1,4.369,4,1
145,19,Q2.Isr_edited_ob_5,1,7.173,3,0.75
146,19,Q2.na_edited_hu_1,0,19.531,2,0.5
147,19,Q2.as_edited_ob_1,1,6.001,3,0.75
148,19,Q2.isr_edited_hu_1,1,16.953,3,0.75
149,19,Q2.Isr_unedited_1,1,6.272,2,0.5
150,19,Q2.as_unedited_1,1,4.731,2,0.5
151,19,Q2.Isr_unedited_4,1,7.712,2,0.5
152,19,Q2.af_unedited_1,1,6.112,3,0.75
153,20,Q2.Isr_edited_ob_5,1,5.644,3,0.75
154,20,Q2.na_edited_hu_1,0,2.388,4,1
155,20,Q2.as_edited_ob_1,0,2.06,4,1
156,20,Q2.isr_edited_hu_1,0,10.314,3,0.75
157,20,Q2.Isr_unedited_2,0,4.632,4,1
158,20,Q2.as_unedited_1,1,8.649,3,0.75
159,20,Q2.Isr_unedited_3,1,22.425,3,0.75
